number;type;tree;bush;diameter;height;description;action
1044;Береза;1;;16;;сухостой;Вырубить
1066;Береза;1;;18,46;;2 ствола;Сохранить
1067;Сосна;1;;66;;;Вырубить
1068;Сосна;1;;48;;многочисл.сухие ветви;Вырубить
1069;Береза;1;;46;;;Вырубить
1070;Сосна;1;;58;;сухобочина;Вырубить
1079;Клен остролистный;1;;28,32;;2 ствола;Сохранить
1080;Липа;1;;12;;;Вырубить
1084;Клен остролистный;1;;10;;;Вырубить
1086;Орех;1;;10;;;Вырубить
1087;Клен остролистный;1;;8;;;Вырубить
1088;Клен остролистный;1;;12;;;Вырубить
1089;Клен остролистный;1;;10;;спилы;Вырубить
1090;Сосна;1;;50;;;Вырубить
1091;Береза;1;;36;;;Вырубить
1092;Сосна;1;;58;;;Вырубить
1094;лещина куст;;1;;;;Вырубить
1095;Сосна;1;;44;;;Вырубить
1096;Ель;1;;6;;;Вырубить
1097;Сосна;1;;52;;;Вырубить
1102;Липа;1;;18;;;Сохранить
1103;самосев лиственных пород;;11;1-2;;;Вырубить
1104;Сосна;1;;58;;;Сохранить
1105;Липа;1;;36;;;Сохранить
1106;Сосна;1;;66;;;Сохранить
1107;Дуб;1;;46;;ствол наклонен, стволовая гниль;Сохранить
1108;Береза;1;;44;;;Сохранить
1109;Сосна;1;;54;;;Сохранить
1110;Дуб;1;;10;;;Сохранить
1111;Сосна;1;;76;;;Вырубить
1112;Дуб;1;;16;;многочисл. сухие ветви;Вырубить
1113;Береза;1;;22;;;Вырубить
1114;Ель;1;;10;;;Вырубить
1115;Ель;1;;46;;;Вырубить
1116;Дуб;1;;6;;от пня;Вырубить
1117;Сосна;1;;48;;сухобочина;Вырубить
1118;Ель;1;;50;;;Вырубить
1119;Ель;1;;10;;;Вырубить
1120;Сосна;1;;52;;;Вырубить
1121;Клен остролистный;1;;8,8,12;;3 ствола;Сохранить
1122;Береза;1;;22;;;Вырубить
1123;Сосна;1;;72;;;Сохранить
1124;Сосна;1;;56;;;Вырубить
1125;Ель;1;;6;;;Вырубить
1131;Ель;1;;46;;сухобочина;Сохранить
1132;Береза;1;;48;;ствол наклонен;Сохранить
1133;ирга куст;;10;;;;Сохранить
1142;Ель;1;;46;;;Сохранить
1144;самосев лиственных пород;;;1;;;Сохранить
1145;лещина куст;;1;;;;Сохранить
1151;самосев лиственных пород;;;1-4;;;Сохранить
1178;лещина куст;;1;;;водоохр.зона;Сохранить
1180;жимолость куст;;1;;;водоохр.зона;Сохранить
1182;бузина куст;;1;;;водоохр.зона;Сохранить
1183;Черемуха;1;;10;;водоохр.зона;Сохранить
1184;лещина куст;;1;;;водоохр.зона;Сохранить
1185;жимолость куст;;1;;;водоохр.зона;Сохранить
1187;Сосна;1;;50;;;Сохранить
1188;Береза;1;;54;;ствол искривлен;Сохранить
1189;Ель;1;;30;;ствол искривлен;Сохранить
1190;Сосна;1;;64;;сухие ветви;Сохранить
1191;Сосна;1;;28;;;Сохранить
1192;Ель;1;;46;;;Сохранить
1193;Ель;1;;54;;;Сохранить
1194;Сосна;1;;12;;;Сохранить
1195;Ель;1;;46;;;Сохранить
1196;Береза;1;;36,58;;2 ствола;Сохранить
1197;Сосна;1;;54;;;Сохранить
1198;Липа;1;;38;;;Сохранить
1199;Береза;1;;40;;;Сохранить
1200;Липа;1;;26;;;Сохранить
1201;Береза;1;;12;;;Сохранить
1202;Сосна;1;;28;;;Сохранить
1203;Береза;1;;18,42;;2 ствола;Сохранить
1204;Сосна;1;;50;;;Сохранить
1205;Ель;1;;6;;;Сохранить
1206;Береза;1;;36;;ствол искривлен, сухобоч., ствол.гниль;Сохранить
1207;Сосна;1;;70;;сухобочина;Сохранить
1208;Сосна;1;;56;;ствол наклонен;Сохранить
1209;Лиственница;1;;14;;;Сохранить
1210;Сосна;1;;52;;;Сохранить
1211;Лиственница;1;;18;;;Сохранить
1212;Сосна;1;;20;;;Сохранить
1213;Сосна;1;;54,66;;2 ствола, сухобочина;Сохранить
1214;барбарис куст;;3;;;;Сохранить
1215;барбарис куст;;1;;;;Сохранить
1216;Яблоня;1;;20;;ствол наклонен, спилы;Сохранить
1217;Клен остролистный;1;;46;;морозобоина;Сохранить
1218;калина куст;;5;;;;Сохранить
1219;пузыреплодник куст;;11;;;;Сохранить
1220;калина куст;;10;;;;Сохранить
1221;Ель;1;;6;;;Сохранить
1222;Ель;1;;6;;;Сохранить
1223;Ель;1;;6;;;Сохранить
1224;дек.-лиственный кустарник;;3;;;гортензия;Сохранить
1225;сирень куст;;6;;;;Сохранить
1226;Ель;1;;6;;;Сохранить
1227;Ель;1;;6;;;Сохранить
1228;Ель;1;;6;;;Сохранить
1229;Ель;1;;6;;;Сохранить
1230;Ель;1;;6;;;Сохранить
1231;пузыреплодник куст;;20;;;;Сохранить
1231А;Ель;3;;6;;;Сохранить
1232;Сосна;1;;44;;;Вырубить
1233;Ель;1;;52;;сухие ветви;Сохранить
1234;Сосна;1;;68;;;Сохранить
1235;Ель;1;;44;;;Сохранить
1236;самосев лиственных пород;;;1;;;Сохранить
1237;Сосна;1;;60;;;Сохранить
1238;Ель;1;;24;;;Сохранить
1239;Ель;1;;18;;;Сохранить
1240;Ель;1;;26;;;Сохранить
1241;Ель;1;;48;;;Сохранить
1242;Береза;1;;12;;;Сохранить
1243;Рябина;1;;14;;;Сохранить
1244;Рябина;1;;16;;спилы, сухобочина;Сохранить
1245;Ель;1;;46;;;Сохранить
1246;Ель;1;;46;;;Сохранить
1247;Сосна;1;;84;;;Сохранить
1248;Дуб;1;;36;;;Сохранить
1250;самосев лиственных пород;;;1;;рябина;Сохранить
1251;Ель;1;;6;;;Сохранить
1252;Ель;1;;6;;;Сохранить
1253;Ель;1;;6;;;Сохранить
1254;Ель;1;;6;;;Сохранить
1255;Орех;1;;44;;ствол наклонен, сухие ветви;Сохранить
1256;Клен остролистный;1;;46;;сухие ветви;Сохранить
1258;Липа;1;;26;;;Сохранить
1259;Ель;1;;34;;;Сохранить
1260;Липа;1;;38;;;Сохранить
1261;Липа;1;;18,20,30;;3 ствола;Сохранить
1321;Туя;1;;6,6;;двухствольное;Сохранить
1322;Туя;1;;6;;;Сохранить
1323;Туя;1;;6;;;Сохранить
1324;сирень куст;;1;;;;Сохранить
1325;дек.-лиственный кустарник;;2;;;гортензия;Сохранить
1326;хвойный кустарник;;1;;;;Сохранить
1327;хвойный кустарник;;1;;;;Сохранить
1328;дек.-лиственный кустарник;;3;;;гортензия;Сохранить
1329;сирень куст;;1;;;;Сохранить
1330;хвойный кустарник;;1;;;;Сохранить
1331;Рябина;2;;6;;;Сохранить
1332;дек.-лиственный кустарник;;3;;;гортензия;Сохранить
1333;сирень куст;;1;;;;Сохранить
1334;хвойный кустарник;;1;;;;Сохранить
1335;дек.-лиственный кустарник;;2;;;гортензия;Сохранить
1336;сирень куст;;2;;;;Сохранить
1337;хвойный кустарник;;1;;;;Сохранить
1338;дек.-лиственный кустарник;;2;;;гортензия;Сохранить
1339;барбарис куст;;4;;;;Сохранить
1340;Сосна;1;;44;;ствол наклонен;Сохранить
1341;Каштан;1;;6;;;Сохранить
1342;Клен остролистный;1;;12;;;Сохранить
1343;Липа;1;;40;;;Вырубить
1344;Клен остролистный;1;;10;;;Сохранить
1345;Клен остролистный;1;;12;;;Сохранить
1346;Клен остролистный;1;;16;;ствол наклонен;Сохранить
1347;Клен остролистный;1;;12;;ствол наклонен;Сохранить
1348;Клен остролистный;1;;10;;;Сохранить
1349;Ель;1;;46;;;Сохранить
1350;Ель;1;;20;;;Сохранить
1351;Сосна;1;;74;;;Сохранить
1352;Липа;1;;30,30;;2 ствола;Сохранить
1353;Ель;1;;22;;;Вырубить
1354;Ель;1;;74;;;Вырубить
1355;Ель;1;;16;;;Сохранить
1356;Липа;1;;38;;;Сохранить
1357;Сосна;1;;56;;;Сохранить
1358;Ель;1;;20;;;Сохранить
1359;Липа;1;;20;;;Сохранить
1360;Ель;1;;48;;;Сохранить
1361;Ель;1;;16;;;Сохранить
1362;Липа;1;;20;;;Вырубить
1363;Ель;1;;42;;;Сохранить
1364;Ель;1;;28;;;Сохранить
1365;Сосна;1;;76;;ствол наклонен;Сохранить
1366;Ель;1;;38;;;Сохранить
1367;Ель;1;;58;;;Сохранить
1368;Сосна;1;;60;;;Сохранить
1369;Ель;1;;12;;;Сохранить
1370;Липа;1;;20;;;Сохранить
1371;Сосна;1;;56;;;Сохранить
1372;Ель;1;;12;;;Вырубить
1373;Ель;1;;64;;сухобочина;Сохранить
1374;лещина куст;;1;;;;Сохранить
1375;Ель;2;;50-52;;;Сохранить
1376;Ель;1;;70;;;Сохранить
1381;Липа;1;;46;;искривл.;Вырубить
1382;Ель;1;;46;;;Вырубить
1383;Сосна;1;;44;;;Вырубить
1385;Липа;1;;38;;сухие ветви;Сохранить
1390;Сосна;1;;60;;ствол наклонен;Вырубить
1391;Сосна;1;;44;;;Вырубить
1396;Сосна;1;;64;;ствол наклонен, многочисл.сухие ветви;Вырубить
1397;Сосна;1;;16;;усых., без коры;Сохранить
1407;Ель;1;;24;;;Вырубить
1408;Ель;1;;28;;водоохр.зона;Сохранить
1409;Сосна;1;;46;;водоохр.зона, многочисл.сухие ветви;Вырубить
1410;Липа;1;;16;;водоохр.зона;Сохранить
1411;Ель;1;;10;;водоохр.зона;Вырубить
1412;Сосна;1;;60;;водоохр.зона, многочисл.сухие ветви;Вырубить
1413;самосев лиственных пород;;;1;;водоохр.зона;Вырубить
1414;Ель;1;;14;;водоохр.зона, сухобочина;Вырубить
1415;Сосна;1;;56;;водоохр.зона;Сохранить
1418;лещина куст;;4;;;водоохр.зона;Вырубить
1458;Сосна;1;;64;;ствол наклонен;Вырубить
1459;Липа;1;;30;;;Сохранить
1460;Липа;1;;24;;морозобоина;Сохранить
1461;Сосна;1;;46;;;Сохранить
1462;Сосна;1;;76;;;Сохранить
1463;Сосна;1;;56;;;Сохранить
1464;Сосна;1;;48;;сухие ветви;Сохранить
1465;Сосна;1;;50;;;Вырубить
1466;Ель;1;;30;;;Вырубить
1467;Дуб;1;;36;;;Вырубить
1468;Ель;1;;10;;;Вырубить
1469;Сосна;1;;88;;;Вырубить
1475;Сосна;1;;46;;;Вырубить
1476;самосев лиственных пород;;;1;;;Вырубить
1491;Вяз;1;;14;;;Вырубить
1492;Сосна;1;;72;;с развилкой;Вырубить
1494;Береза;1;;26;;сухобочина;Вырубить
1495;Сосна;1;;38;;;Вырубить
1496;Сосна;1;;44;;ствол изогнут;Вырубить
1498;Сосна;1;;44;;;Вырубить
1499;лещина куст;;1;;;;Вырубить
1500;лещина куст;;1;;;;Вырубить
1501;Береза;1;;34;;;Вырубить
1502;Ель;1;;6;;;Вырубить
1503;Ель;1;;6;;;Сохранить
1504;лещина куст;;1;;;;Сохранить
1505;самосев лиственных пород;;;1-2;;;Вырубить
1506;Ель;1;;6;;;Сохранить
1507;самосев лиственных пород;;;1;;;Сохранить
1508;Ель;1;;6;;;Сохранить
1509;Береза;1;;42;;ствол наклонен;Сохранить
1510;Сосна;1;;66;;сухобочина;Сохранить
1511;Дуб;1;;26;;ствол наклонен;Сохранить
1512;Сосна;1;;44;;;Сохранить
1513;Ель;1;;46;;;Сохранить
1514;Сосна;1;;60;;;Вырубить
1515;Ель;1;;30;;;Сохранить
1516;Ель;1;;50;;;Сохранить
1517;Сосна;1;;68;;;Сохранить
1518;Ель;1;;12;;;Вырубить
1519;Липа;1;;36,36;;2 ствола;Сохранить
1520;Ель;1;;6;;;Сохранить
1521;Ель;1;;6;;;Сохранить
1522;Ель;1;;6;;;Сохранить
1523;Ель;1;;6;;;Вырубить
1524;Ель;1;;48;;;Сохранить
1525;Ель;1;;56;;;Сохранить
1526;Клен остролистный;1;;8;;;Сохранить
1527;Береза;1;;16;;;Сохранить
1528;Клен остролистный;1;;8;;;Сохранить
1529;Ель;1;;52;;;Сохранить
1530;Ель;1;;64;;;Сохранить
1531;Сосна;1;;46;;;Сохранить
1532;Ель;1;;46;;;Сохранить
1533;Сосна;1;;74;;сухие ветви;Сохранить
1534;Сосна;1;;36;;;Сохранить
1535;Сосна;1;;48;;ствол искривлен, сухие ветви;Сохранить
1536;Сосна;1;;58;;;Сохранить
1537;Сосна;1;;54;;ствол наклонен;Сохранить
1538;лещина куст;;1;;;;Сохранить
1539;Ель;1;;6;;;Сохранить
1540;лещина куст;;1;;;;Сохранить
1541;Сосна;1;;66;;сухие ветви;Сохранить
1542;Ель;1;;56;;;Сохранить
1543;Сосна;1;;40;;сухостой;Сохранить
1544;Ель;1;;12;;;Сохранить
1545;Ель;1;;12;;вершина сломана;Сохранить
1546;Ель;1;;14;;;Сохранить
1547;Ель;1;;12;;;Вырубить
1548;лещина куст;;1;;;;Сохранить
1549;Сосна;1;;56;;;Сохранить
1550;Сосна;1;;48;;;Сохранить
1551;Ель;1;;34;;;Сохранить
1552;Ель;1;;16;;;Сохранить
1553;Ель;1;;10;;;Сохранить
1554;Ель;1;;10;;;Сохранить
1555;Береза;1;;32;;;Сохранить
1556;Ель;1;;10;;;Сохранить
1557;Ель;1;;10;;;Сохранить
1558;Ель;1;;14;;;Сохранить
1559;Ель;1;;12;;;Сохранить
1560;Ель;1;;8;;;Сохранить
1561;Ель;1;;10;;;Сохранить
1562;Ель;1;;8;;;Сохранить
1563;Сосна;1;;78;;сухие ветви;Сохранить
1564;Ель;1;;6;;;Сохранить
1565;Сосна;1;;46;;;Сохранить
1566;Ель;1;;10;;;Сохранить
1567;Ель;1;;8;;;Сохранить
1568;Береза;1;;18;;вершина спилена;Сохранить
1569;Ель;1;;28;;;Сохранить
1570;Клен остролистный;1;;10;;;Сохранить
1571;Дуб;1;;10;;;Сохранить
1572;Береза;1;;24;;;Сохранить
1573;ирга куст;;1;;;;Сохранить
1574;Дуб;1;;6;;;Сохранить
1575;бересклет куст;;2;;;;Сохранить
1576;Клен остролистный;1;;14;;;Сохранить
1577;Рябина;1;;12;;водоохр.зона, с развилкой;Сохранить
1578;Рябина;1;;10;;ствол искривлен;Сохранить
1579;Рябина;1;;12;;;Сохранить
1580;Липа;1;;32;;водоохр.зона;Сохранить
1581;Рябина;1;;12;;;Сохранить
1582;Сосна;1;;42;;;Сохранить
1583;Сосна;1;;74;;;Сохранить
1584;лещина куст;;1;;;;Сохранить
1585;лещина куст;;1;;;;Сохранить
1586;лещина куст;;1;;;;Сохранить
1587;Липа;1;;46;;;Сохранить
1588;лещина куст;;1;;;;Сохранить
1589;Рябина;1;;8;;;Сохранить
1590;Рябина;1;;10;;;Сохранить
1591;Дуб;1;;8;;;Сохранить
1592;Сосна;1;;58;;;Сохранить
1593;Ель;1;;6;;;Сохранить
1594;Рябина;1;;6;;;Сохранить
1595;ирга куст;;1;;;;Сохранить
1596;лещина куст;;1;;;;Сохранить
1597;Ель;1;;36;;;Сохранить
1598;ирга куст;;1;;;;Сохранить
1599;самосев лиственных пород;;;1-2;;;Сохранить
1600;Сосна;1;;58;;;Сохранить
1601;Рябина;1;;6;;;Сохранить
1602;Рябина;1;;10;;;Сохранить
1603;Рябина;1;;8;;;Сохранить
1604;Ель;1;;28;;;Сохранить
1605;Сосна;1;;62;;;Сохранить
1606;лещина куст;;1;;;;Сохранить
1607;Ель;1;;42;;;Сохранить
1608;Сосна;1;;68;;сухие ветви;Сохранить
1609;Дуб;1;;6;;;Сохранить
1610;Ель;1;;54;;;Сохранить
1611;Рябина;1;;12;;;Сохранить
1612;Дуб;1;;6;;;Сохранить
1613;Ель;1;;58;;;Вырубить
1614;Сосна;1;;56;;сухобочина;Вырубить
1615;Сосна;1;;40;;;Сохранить
1616;Ель;1;;64;;;Сохранить
1617;Сосна;1;;60;;;Сохранить
1618;лещина куст;;1;;;;Сохранить
1619;Сосна;1;;66;;;Сохранить
1620;лещина куст;;1;;;;Сохранить
1621;Сосна;1;;68;;;Сохранить
1622;лещина куст;;1;;;;Сохранить
1623;лещина куст;;1;;;;Сохранить
1624;Ель;1;;64;;;Сохранить
1625;Дуб;1;;6;;;Сохранить
1626;самосев лиственных пород;;;1;;;Сохранить
1627;барбарис куст;;1;;;;Сохранить
1628;чубушник куст;;1;;;;Вырубить
1654;Сосна;1;;60;;водоохр.зона, сухие ветви;Сохранить
1655;лещина куст;;1;;;водоохр.зона;Сохранить
1656;Ель;1;;54;;водоохр.зона;Сохранить
1659;Ель;1;;46;;водоохр.зона;Сохранить
1660;самосев лиственных пород;;;1;;водоохр.зона;Сохранить
1661;черемуха куст;;1;;;водоохр.зона;Сохранить
1662;бересклет куст;;11;;;водоохр.зона;Сохранить
1663;Рябина;1;;8,8;;водоохр.зона, 2 ствола;Сохранить
1664;лещина куст;;1;;;водоохр.зона;Сохранить
1665;лещина куст;;1;;;водоохр.зона;Сохранить
1668;Рябина;1;;8;;водоохр.зона, сухостой;Сохранить
1669;бересклет куст;;1;;;водоохр.зона;Сохранить
